OffspCollection	Kid	Pa	Ma	PopName	SpawnYear	FDR	Pvalue	LOD	P.Pr.C_Se_Se	P.Pr.Max	MaxP.Pr.Relat	TotPaNonExc	TotMaNonExc	TotUnkNonExc	TotPairsNonExc	KidMiss	PaMiss	MaMiss	MI.Kid.Pa	MI.Kid.Ma	MI.Trio	MendIncLoci
Fishery2011	T073172	---	---	---	---	---	---	---	---	---	---	63	42	0	0	0	---	---	---	---	---	---
Fishery2011	T073173	---	---	---	---	---	---	---	---	---	---	71	72	0	0	0	---	---	---	---	---	---
Fishery2011	T073174	---	---	---	---	---	---	---	---	---	---	0	0	0	0	1	---	---	---	---	---	---
Fishery2011	T073175	---	---	---	---	---	---	---	---	---	---	0	0	0	0	0	---	---	---	---	---	---
Fishery2011	T073176	---	---	---	---	---	---	---	---	---	---	0	3	0	0	0	---	---	---	---	---	---
Fishery2011	T073177	---	---	---	---	---	---	---	---	---	---	0	0	0	0	0	---	---	---	---	---	---
Fishery2011	T073178	---	---	---	---	---	---	---	---	---	---	0	0	0	0	0	---	---	---	---	---	---
Fishery2011	T073179	---	---	---	---	---	---	---	---	---	---	0	0	0	0	1	---	---	---	---	---	---
Fishery2011	T073180	---	---	---	---	---	---	---	---	---	---	0	0	0	0	0	---	---	---	---	---	---
Fishery2011	T073181	---	---	---	---	---	---	---	---	---	---	25	31	0	0	0	---	---	---	---	---	---
Fishery2011	T073182	---	---	---	---	---	---	---	---	---	---	0	0	0	0	1	---	---	---	---	---	---
Fishery2011	T073183	---	---	---	---	---	---	---	---	---	---	78	99	0	0	0	---	---	---	---	---	---
Fishery2011	T073184	---	---	---	---	---	---	---	---	---	---	0	0	0	0	0	---	---	---	---	---	---
Fishery2011	T073185	---	---	---	---	---	---	---	---	---	---	0	2	0	0	1	---	---	---	---	---	---
Fishery2011	T073186	---	---	---	---	---	---	---	---	---	---	0	0	0	0	0	---	---	---	---	---	---
Fishery2011	T073187	---	---	---	---	---	---	---	---	---	---	0	1	0	0	1	---	---	---	---	---	---
Fishery2011	T073188	T030378	T030273	FRHsp	2007	1.230697	0.901000	-1.683135	0.000000	0.933663	C_U_U	76	56	0	1	1	8	0	2	2	4	Ots_TAPBP,Ots_128693.461,Ots_128757.61,Ots_110201.363
Fishery2011	T073189	---	---	---	---	---	---	---	---	---	---	0	0	0	0	0	---	---	---	---	---	---
Fishery2011	T073190	---	---	---	---	---	---	---	---	---	---	1	0	0	0	0	---	---	---	---	---	---
Fishery2011	T073191	---	---	---	---	---	---	---	---	---	---	30	40	0	0	0	---	---	---	---	---	---
Fishery2011	T073192	---	---	---	---	---	---	---	---	---	---	11	21	0	0	0	---	---	---	---	---	---
Fishery2011	T073193	---	---	---	---	---	---	---	---	---	---	0	0	0	0	0	---	---	---	---	---	---
Fishery2011	T073194	---	---	---	---	---	---	---	---	---	---	10	13	0	0	0	---	---	---	---	---	---
Fishery2011	T073195	---	---	---	---	---	---	---	---	---	---	41	43	0	0	0	---	---	---	---	---	---
Fishery2011	T073196	---	---	---	---	---	---	---	---	---	---	197	275	0	0	0	---	---	---	---	---	---
Fishery2011	T073197	---	---	---	---	---	---	---	---	---	---	81	93	0	0	0	---	---	---	---	---	---
Fishery2011	T073198	---	---	---	---	---	---	---	---	---	---	0	0	0	0	0	---	---	---	---	---	---
Fishery2011	T073199	---	---	---	---	---	---	---	---	---	---	0	0	0	0	0	---	---	---	---	---	---
Fishery2011	T073200	---	---	---	---	---	---	---	---	---	---	8	9	0	0	0	---	---	---	---	---	---
Fishery2011	T073201	---	---	---	---	---	---	---	---	---	---	0	1	0	0	0	---	---	---	---	---	---
Fishery2011	T073202	---	---	---	---	---	---	---	---	---	---	199	181	0	0	1	---	---	---	---	---	---
Fishery2011	T073203	---	---	---	---	---	---	---	---	---	---	3	2	0	0	2	---	---	---	---	---	---
Fishery2011	T073204	---	---	---	---	---	---	---	---	---	---	11	7	0	0	1	---	---	---	---	---	---
Fishery2011	T073205	---	---	---	---	---	---	---	---	---	---	27	48	0	0	0	---	---	---	---	---	---
Fishery2011	T073206	T071219	T071223	FRHfa	2008	0.000000	0.000000	21.284275	0.996817	0.996817	C_Se_Se	23	15	0	1	1	0	0	0	0	0	---
Fishery2011	T073207	---	---	---	---	---	---	---	---	---	---	0	0	0	0	1	---	---	---	---	---	---
Fishery2011	T073208	---	---	---	---	---	---	---	---	---	---	16	16	0	0	0	---	---	---	---	---	---
Fishery2011	T073209	---	---	---	---	---	---	---	---	---	---	1	0	0	0	0	---	---	---	---	---	---
Fishery2011	T073210	---	---	---	---	---	---	---	---	---	---	63	76	0	0	0	---	---	---	---	---	---
